Abdon
Abel
Abelard
Abraham
Achilles
Achmed
Adam 
Adelard
Adnan
Adrian 
Agapit
Agaton
Agrypin
Ahmed
Ajdin
Albert 
Albin
Albrecht
Aleksander 
Aleksy 
Alfons 
Alfred
Alojzy
Alwin
Amadeusz
Ambroży 
Anastazy
Anatol 
Andrzej 
Anioł
Annasz
Antoni 
Antonin 
Antonius 
Anzelm
Apollo
Apoloniusz 
Ariel
Arkadiusz 
Arkady 
Arnold 
Aron
Artur 
August 
Augustyn 
Aurelian
Baldwin
Baltazar
Barabasz
Barnim
Bartłomiej 
Bartosz 
Bazyli
Beat
Benedykt 
Beniamin
Benon
Bernard
Bert
Błażej 
Bodosław 
Bogdał
Bogdan 
Boguchwał
Bogumił 
Bogumir 
Bogusław 
Bogusz
Bolebor
Bolelut
Bolesław 
Bonawentura
Bonifacy
Borys 
Borysław 
Borzywoj
Bożan
Bożidar
Bożydar
Bożimir
Bromir
Bronisław 
Bruno
Brunon 
Budzisław
Cecyl
Cecylian
Celestyn
Cezar
Cezary 
Chociemir
Chrystian
Chwalibóg
Chwalimir
Chwalisław
Cichosław
Cyprian 
Cyryl
Czesław 
Dajmir
Dal
Dalbor
Damazy
Damian 
Daniel 
Danisław 
Danko 
Dargomir
Dargosław
Dariusz 
Darwit
Dawid 
Denis 
Derwit 
Dionizy 
Dobiesław
Dobrogost
Dobrosław
Domasław
Dominik 
Donald
Donat 
Dorian
Duszan
Dymitr 
Dyter 
Dżamil
Dżan
Dżem
Dżemil
Edmund 
Edward 
Edwin
Efrem
Eliasz
Eligiusz
Emanuel 
Emil 
Emir
Erazm
Ernest 
Erwin
Eugeniusz 
Eryk
Ewald 
Ewaryst
Ezaw
Ezechiel
Fabian 
Farid
Faris
Faustyn
Felicjan
Feliks 
Ferdynand 
Filip 
Florentyn
Florian 
Fortunat
Franciszek 
Fryc 
Fryderyk 
Gabriel 
Gaj
Gardomir
Gaweł
Gerard 
Gerwazy
Gilbert
Ginter 
Gniewomir
Godfryd
Godzisław 
Gościsław
Gracjan 
Grodzisław
Grzegorz 
Grzymisław
Gustaw 
Gwalbert
Gwido 
Gwidon 
Hadrian
Hamza
Hanusz 
Hasan
Hektor
Heliodor
Henryk 
Herakles
Herbert 
Herman
Hermes
Hiacynt
Hieronim 
Hilary
Hipolit 
Honorat
Horacy 
Hubert 
Hugo 
Hugon
Husajn
Idzi 
Ignacy 
Igor 
Ildefons 
Inocenty
Ireneusz 
Iwan 
Iwo 
Iwon 
Izajasz
Izydor 
Jacek 
Jacenty 
Jakub 
Jan 
January
Janusz 
Jarad
Jaromir 
Jaropełk 
Jarosław 
Jarowit 
Jeremiasz
Jerzy 
Jędrzej
Joachim 
Jona
